CATEG	MODEL	B0	B1	MALE	AGE
BCL2_MYC	prox	5.63318281708082	-3.74670242399957	0.304245798773748	-0.0167165812397536
CDX2.high	prox	4.07405117310662	-2.85199469391044	-0.182066788350158	-0.00360329159645588
CRLF2	prox	7.2124063000537	-5.4392508573351	0.0606214568218919	-0.0132862508194253
DUX4	prox	10.933084998276	-8.32377325697832	0.0632895573343592	-0.0185328296090198
ETP.ALL	prox	5.41032579635721	-3.40783408494501	-0.269818956216596	-0.00409533006909532
ETV6.RUNX1	prox	7.53990348844073	-6.50697892320028	-0.109912855217298	-0.00804470527805692
GTEx.Adipose	prox	6.01667735374665	-10.4288872907668	0.000315731579253625	0.00158474368770572
GTEx.Adrenal	prox	7.46211630342118	-10.0398768701132	-0.127376240799371	0.00209913269281657
GTEx.Artery	prox	9.02021182548462	-9.27891543745527	-0.282183169151669	-0.0596218801874219
GTEx.Bladder	prox	4.30171117769119	-5.1362256591844	0.0462598932949656	-0.0234355579683057
GTEx.Blood	prox	13.5687570984298	-13.0624329087214	0.0628165864496241	0.0269561502447458
GTEx.Brain	prox	7.44099423144413	-9.34593018517889	0.15335045373097	0.00769095568257504
GTEx.Breast	prox	5.89721425254828	-9.24435912319884	0.185353045747472	-0.00922076477643179
GTEx.Cervix	prox	4.05140895626417	-3.39468970109477	-1.50359586581998	-0.0241567139832432
GTEx.Colon	prox	5.12118900410587	-7.5308234438576	-0.0254857101414481	-0.00837471211506158
GTEx.Esophagus	prox	5.00369566952622	-7.73091727492803	0.0768986480072529	-0.00108115503302602
GTEx.Fallopian	prox	3.14096227209778	-2.645583970557	-1.47173293103631	-0.019380158526662
GTEx.Heart	prox	8.18498120932466	-12.2833502020215	0.161165525836692	0.00796900884900898
GTEx.Intestine	prox	5.47627782591185	-8.89343396424854	0.125370039225953	0.00331540949611121
GTEx.Kidney	prox	5.08718386835609	-8.56064735590906	0.256305909055865	-0.00621073853154633
GTEx.Liver	prox	7.18492574083316	-9.33735296527473	0.0638513655853626	-0.00605076539338193
GTEx.Lung	prox	6.32998318023274	-12.0426078390573	0.108035139018852	0.00822076004108885
GTEx.Muscle	prox	6.74373632812983	-8.13745339793546	-0.0585706381048746	-0.0069640789731323
GTEx.Nerve	prox	6.08558569166946	-11.6464000583947	-0.00535836314170682	-0.00147379388665368
GTEx.Ovary	prox	6.22987395846978	-8.22174964190663	-1.41123306568755	-0.00520395508227429
GTEx.Pancreas	prox	6.71241707146655	-9.80446107460371	0.0616478347044885	-0.0132931834212499
GTEx.Pituitary	prox	4.85865683681832	-8.76976039815896	-0.00803721240504952	0.0134506498074273
GTEx.Prostate	prox	5.09976666387486	-10.2861205233667	1.7501077549545	-0.00996186869404604
GTEx.Salivary	prox	4.75140641612852	-7.81929297308025	0.0922066472475255	-5.41492622413414e-05
GTEx.Skin	prox	1.92700170021476	-2.89857422479203	0.208802365061226	0.00684105027126127
GTEx.Spleen	prox	5.33622044054593	-8.47691669772619	0.0896206236417463	-9.94701507897399e-05
GTEx.Stomach	prox	7.28982110268501	-11.5837255468594	0.0941590786006141	-0.00676095954027971
GTEx.Testis	prox	5.13398569016785	-7.35371712940628	0.35265519902321	-0.00724111149420605
